Tên dược liệu,Link ảnh,Link chi tiết
Cao cẳng bắc bộ,https://tracuuduoclieu.vn/wp-content/uploads/2022/12/cao-cang-bb-2-e1671503062152-247x360.jpg,https://tracuuduoclieu.vn/cao-cang-bac-bo.html
Cao cẳng lá mác,https://tracuuduoclieu.vn/wp-content/uploads/2022/12/la-mac-1-e1671527998657.jpg,https://tracuuduoclieu.vn/cao-cang-la-mac.html
Cao cẳng trung gian,https://tracuuduoclieu.vn/wp-content/uploads/2022/12/cao-cang-trung-gian-3-min-1-e1671699047513-360x317.jpg,https://tracuuduoclieu.vn/cao-cang-trung-gian.html
Sài hồ,https://tracuuduoclieu.vn/wp-content/uploads/2022/12/sai-ho-2-360x300.jpg,https://tracuuduoclieu.vn/sai-ho.html
Dây lửa ít gân,https://tracuuduoclieu.vn/wp-content/uploads/2022/10/duoc-lieu-2-min-360x300.jpg,https://tracuuduoclieu.vn/day-lua-it-gan.html
Trám hồng,https://tracuuduoclieu.vn/wp-content/uploads/2022/10/2-5-min-360x300.jpg,https://tracuuduoclieu.vn/tram-hong.html
Thiên danh tinh,https://tracuuduoclieu.vn/wp-content/uploads/2022/10/anh-moi-02-360x360.jpg,https://tracuuduoclieu.vn/thien-danh-tinh.html
Nho biển,https://tracuuduoclieu.vn/wp-content/uploads/2022/10/2-2.png,https://tracuuduoclieu.vn/nho-bien.html
Su hào,https://tracuuduoclieu.vn/wp-content/uploads/2022/10/su-hao-360x360.jpg,https://tracuuduoclieu.vn/su-hao.html
Hương thảo,https://tracuuduoclieu.vn/wp-content/uploads/2022/10/huong-thao-360x360.jpg,https://tracuuduoclieu.vn/huong-thao.html
Chanh trường,https://tracuuduoclieu.vn/wp-content/uploads/2018/03/chanh-truong-4-360x360.jpg,https://tracuuduoclieu.vn/chanh-truong.html
Sương sáo,https://tracuuduoclieu.vn/wp-content/uploads/2022/02/xuong-sao-3-360x360.jpg,https://tracuuduoclieu.vn/suong-sao.html
Bản xé thơm,https://tracuuduoclieu.vn/wp-content/uploads/2022/01/ban-xe-thom-5-360x333.jpg,https://tracuuduoclieu.vn/ban-xe-thom.html
Bại tượng hoa trắng,https://tracuuduoclieu.vn/wp-content/uploads/2021/12/bai-tuong-hoa-trang-1-360x333.jpg,https://tracuuduoclieu.vn/bai-tuong-hoa-trang.html
A kê,https://tracuuduoclieu.vn/wp-content/uploads/2021/12/a-ke-2-360x360.jpg,https://tracuuduoclieu.vn/a-ke.html
Áo cộc,https://tracuuduoclieu.vn/wp-content/uploads/2021/12/ao-coc-5-360x345.jpg,https://tracuuduoclieu.vn/ao-coc.html
Anh đào,https://tracuuduoclieu.vn/wp-content/uploads/2021/12/anh-dao-1-360x332.jpg,https://tracuuduoclieu.vn/anh-dao.html
Anh thảo,https://tracuuduoclieu.vn/wp-content/uploads/2020/10/anh-thao-1-360x360.jpg,https://tracuuduoclieu.vn/anh-thao.html
Sâm tố nữ,https://tracuuduoclieu.vn/wp-content/uploads/2019/02/sam-to-nu-360x250.jpg,https://tracuuduoclieu.vn/sam-to-nu.html
Giảo cổ lam,https://tracuuduoclieu.vn/wp-content/uploads/2019/02/giao-co-lam-1-360x256.jpg,https://tracuuduoclieu.vn/giao-co-lam.html
Thảo quả,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thao-qua-duoc-lieu-tue-linh2.jpg,https://tracuuduoclieu.vn/thao-qua.html
