Tên dược liệu,Link ảnh,Link chi tiết,Mô tả cây,Sinh thái,Phân bố,Bộ phận dùng,Công dụng
Cao cẳng bắc bộ,https://tracuuduoclieu.vn/wp-content/uploads/2022/12/cao-cang-bb-2-e1671503062152-247x360.jpg,https://tracuuduoclieu.vn/cao-cang-bac-bo.html,"Cây thân thảo, sống lâu năm. Thân rễ ngắn, rễ chùm mảnh, hình sợi.Lá tập trung ởphầngốc, phiến lá hình ngọn giáo ngược dài 15-21cm, rộng 3-4 cm, dày, gốc không cân, nhiều gân phụ, có gân ngang, cuống lá dài 15-20 cm.Cụm hoadạngchùm, trụccụmhoa dài 20-25 cm, hoa xếp 2-7 cái trong mỗi lá bắc, lá bắc hình ngọn giáo, cao 8 mm, cuống hoa dài 1cm. Nhị 6; bầu 3 ô, vòi nhụy hình trụ, đầu nhụychia3 thùy ngắn.Quả chụm 3, tròn, to 5m.Mùa ra hoa: Tháng 6-9. Mùa quả: Tháng 8-12.","Mọc ở nơi đất ẩm, nhiều mùn, dưới tán rừng lá rộng thường xanh, rừng trên núi đá.","Ở Việt Nam, Cao cẳng bắc bộ phân bố ở các tỉnh Hà Giang, Lạng Sơn, Quảng Ninh, Thái Nguyên, Hòa Bình và Ninh Bình.",Rễ (củ) – Radix Ophiopogonis tonkinensis.,"Ở Vân Nam (Trung Quốc) thân rễ dùng trị viêm niệu đạo, lao phổi, ho, khạc ra máu và viêm nhánh khí quản."
Cao cẳng lá mác,https://tracuuduoclieu.vn/wp-content/uploads/2022/12/la-mac-1-e1671527998657.jpg,https://tracuuduoclieu.vn/cao-cang-la-mac.html,"Cây thân thảo, sống lâu năm. Thân rễ bò dài, phía ngọn chếch lên, dài đến 65cm, đường kính 3-5mm, có đốt, có rễ to.Lá xếp 4-7 cái thành túm, phiến lá xoan thon hay hình mác thon, phần gốc thon nhọn dần thành cuống, dài 5.5-14cm, rộng 1.8-3.5cm, mặt trên màu lục, mặt dưới màu lục tro, có nhiều gân phụ, cuống lá dài 2-7cm.Cụm hoa chùm cao 8-12c, có 10-20 hoa. Hoa có cuống dài 4-6mm, màu trắng. Bẹ hoa 6, hình ngọn giáo dạng trứng, dài 4-6mm, màu trắng. Nhị 6. Bầu trong 8 ô.Quả có cuống ngắn, hình trái xoan, dài 8-9, hạt hình bầu dục.Mùa ra hoa: Tháng 5-6.Mùa quả: Tháng 7-12.",,"Cao cẳng mọc ở nơi đất ẩm, nhiều mùn, dưới tán rừng lá rộng, rừng trẻ nứa.Ở Việt Nam, phân bố ở các tỉnh Tuyên Quang, Lạng Sơn, Hòa Bình, Ninh Bình, Đà Nẵng, Kon Tum, Gia Lai, Lâm Đồng.",,"Dùng trị tim đập mạnh và loạn nhịp, bệnh về tim do phong thấp, lao phổi , viêm phế quản mạn tính, viêm nhánh phế quản."
Cao cẳng trung gian,https://tracuuduoclieu.vn/wp-content/uploads/2022/12/cao-cang-trung-gian-3-min-1-e1671699047513-360x317.jpg,https://tracuuduoclieu.vn/cao-cang-trung-gian.html,"Cây thân thảo, sống lâu năm, mọc thành bụi có củ, thân trên mặt đất rất ngắn.Lá mọc tập trung ở đỉnh thân, phiến lá hình dải, dài 15-55(70) cm, rộng 2-5(8)mm, có 7-9 gân, mép có răng cưa nhỏ, không cuống. Chùm lá bao bọc bởi bẻ nâu.Cụm hoadạngchùm, mọc ở nách lá, cao gần bằng lá. Lá bắc nhỏ, cuống hoa dài hơn lá bắc. Hoa nhỏ màu trắng hoặc màu tím nhạt. Bao hoa có 6 mảnh, dính với nhau ở gốc, xếp 2 vòng, không bằng nhau.Nhị 6, chỉ nhị ngắn. Bầu trung, 3 ô, vòi nhụy hình dùi, đầu nhụy 3 thùy, ngắn.Quả mọng, đường kính 6mm, khi chín có màu tía.Mùa ra hoa: tháng 5-8.Mùa ra quả: Tháng 8-10",,"Cao cẳng trung gian phân bố ở nơi đất ẩm, nhiều mùn, dưới tán rừng, rừng lá rộng thường xanh, rừng tre nứa.
Ở Việt Nam, cây phân bố chủ yếu ở các tỉnh thành Lai Châu, Lào Cai, Cao Bằng, Quảng Nam, Lâm Đồng.",,"Rễ củ dùng trị phổi khô ho khan, thổ huyết lao huyết, phế ung, tiêu khát, đái rắt."
Sài hồ,https://tracuuduoclieu.vn/wp-content/uploads/2022/12/sai-ho-2-360x300.jpg,https://tracuuduoclieu.vn/sai-ho.html,"Sài hồ là cây sống lâu năm, cao 45-70 cm, rễ nhỏ, hình trụ, phân nhánh hoặc không phân nhánh. Thân mọc thẳng, phân nhánh.Lá mọc cách, mép nguyên, hình mác, dài 3-6cm, rộng 6-13cm, đầu lá nhọn, có 7-9 đường gân song song. Lá phía dưới có cuống ngắn, phía trên không có cuống.Cụm hoa hình tán kép, mọc ở kẽ lá và đầu cành, gồm 3-8 tán đơn không bằng nhau, lá bắc hình mác.Hoa nhỏ màu vàng.Quả hình bầu dục, dài độ 5mm, nhưng góc quả rất rõ, có 3 ống tinh dầu nằm ở mặt tiếp giáp.Mùa ra hoa: tháng 7-10.",,"Sài hồ có nguồn gốc ở Nhật Bản và Trung Quốc. Hiện nay, hai đất nước này cũng là nơi trồng nhiều sài hồ nhất. Vào năm 1994, Viện Dược liệu nhập hạt từ hạt giống sài hồ Nhật Bản đã trồng thử ở Trại thuốc Sapa và Tam Đảo. Cây sinh trưởng và phát triển tốt. Tuy nhiên, về chiều cao, cây trồng ở Tam Đảo thấp hơn ở Sapa. Cây trồng ở Sapa đã cho thu hoạch hạt giống và dược liệu.",Rễ đã được phơi khô hoặc sấy khô.,"Sài hồ được dùng chữa sốt, nhức đầu, chóng mặt, sốt do thương hàn, sốt rét, ngực bụng đầy trướng, kinh nguyệt không đều.
Trong y học cổ truyền của các nước phương Đông, sài hồ được dùng điều trị sốt, đau và viêm kết hợp với cúm và cảm lạnh, giảm đau trong suốt quá trình điều trị đau tức ngực và vùng hạ sườn, điều trị vô kinh, viêm gan mạn tính, hội chứng hư thận và bệnh tự nhiên miễn dịch. Trong y học dân gian của một số nước, sài hồ chữa điếc, chóng mặt, đái tháo đường, vết thương và nôn mửa."
Dây lửa ít gân,https://tracuuduoclieu.vn/wp-content/uploads/2022/10/duoc-lieu-2-min-360x300.jpg,https://tracuuduoclieu.vn/day-lua-it-gan.html,,,"Dây lửa ít gân là một thảo dược đặc hiệu quý hiếm chỉ có ở một số vùng nhất định cứ không phân bố rộng như các loại dược liệu khác. Dây lửa ít gân chỉ mọc ở trên núi một số vùng: Tuyên Quang, Yên Bái, Thừa Thiên Huế, Thái nguyên.",,
Trám hồng,https://tracuuduoclieu.vn/wp-content/uploads/2022/10/2-5-min-360x300.jpg,https://tracuuduoclieu.vn/tram-hong.html,,,"Trám hồng phân bố ở Ấn Độ, Mianma, Lào và Việt Nam.
Ở Việt Nam, cây mọc trên đất mùn của rừng thứ sinh đang phục hồi ở Ninh Bình, Thanh Hoá.",,"Quả trám dùng để giải khát, chữa ho, chữa viêm họng. Ngoài ra còn có tác dụng giải độc với các trường hợp ngộ độc cá"
Thiên danh tinh,https://tracuuduoclieu.vn/wp-content/uploads/2022/10/anh-moi-02-360x360.jpg,https://tracuuduoclieu.vn/thien-danh-tinh.html,,,"Thiên danh tinh phân bố ở các khu vực ven đường, bãi cỏ, bụi rậm, lề rừng, ven suối. Loài phân bố ở Ấn Độ, Trung Quốc, Triều Tiên ,Nhật Bản và Bắc Việt Nam.Ở Việt Nam, Thiên danh tinh phân bố phổ biến ở phía Bắc Việt Nam chủ yếu là vùng cao Lào Cai, Hà Tây và Lạng Sơn",,"Quả của Thiên danh tinh dùng để trị giun đũa, giun kim, sán dây, đau bụng giun, viêm mủ ra.Cành, rễ, lá dùng làm thuốc trị các chứng viêm do xung huyết như viêm cuống họng, viêm mạng sườn, viêm phế quản. Có tác dụng trị đau họng khá tốt.Ngoài ra cành và lá có thể trị được trùng độc cắn.Theo kinh nghiệm của dân gian Trung Quốc lá non giã nhừ chữa bệnh thối gan bàn chân. Dùng cành lá giã đắp ngoài trị côn trùng độc cắn, đốt.
Đơn thuốc có Thiên danh tinh
Trị giun đũa, giun kim : Hạc sắc 10g, hạt Cau 10g, Sử quân tử 10g sắc nước uống.Trị côn trùng độc cắn, đốt: Sử dụng cành lá thiên danh tinh giã nát đắp bên ngoài vùng bị bệnh."
Nho biển,https://tracuuduoclieu.vn/wp-content/uploads/2022/10/2-2.png,https://tracuuduoclieu.vn/nho-bien.html,,"Cây nho biển có nguồn gốc từ bản địa ở Florida, Trung Mỹ, phần tây bắc của Nam Mỹ và Caribe.
Nho biển thuộc cây chịu hạn tốt, sống ở nơi ánh nắng nhiều, chịu được bóng râm vừa phải và đặc biệt rất thích nghi với môi trường mặn, nên thường được trồng để gia cố bờ biển. Nho biển xuất hiện phổ biến ở vùng biển Việt Nam, các khu sinh thái,.. Ở Việt Nam, nho biển phân bố ở vùng khí hậu biển như: Đà Nẵng, Nha Trang, Bình Thuận, quần đảo Hoàng Sa.

Nho biển là loài cây chịu được khí hậu ấm áp, nhưng không thể sống sót trong điều kiện sương giá. Cây có thể chịu lạnh xuống đến khoảng 2 °C, nhưng lá sẽ chuyển sang màu đỏ trước khi rụng. Đặc biệt, hạt của nho biển cần được gieo ngay sau khi thu hoạch vì không thể bảo quản lâu dài như nhiều loài cây khác.
Loài cây này cũng được sử dụng như một loại cây cảnh nhờ ít tốn công chăm sóc, ít bị sâu bệnh và có quả thơm ngon, có thể ăn trực tiếp hoặc làm mứt. Tuy nhiên, một nhược điểm nhỏ là lá nho biển phân hủy khá chậm, đôi khi gây phiền toái cho các hộ gia đình.
Cây nho biển có một loài sâu gây hại nhỏ là sâu đục thân nho biển, một loại bướm đêm bản địa ở Florida. Loài này thường tấn công các nhánh nhỏ và làm chết lá, nhưng thiệt hại thường không nghiêm trọng.","Cây nho biển có nguồn gốc từ bản địa ở Florida, Trung Mỹ, phần tây bắc của Nam Mỹ và Caribe.
Nho biển thuộc cây chịu hạn tốt, sống ở nơi ánh nắng nhiều, chịu được bóng râm vừa phải và đặc biệt rất thích nghi với môi trường mặn, nên thường được trồng để gia cố bờ biển. Nho biển xuất hiện phổ biến ở vùng biển Việt Nam, các khu sinh thái,.. Ở Việt Nam, nho biển phân bố ở vùng khí hậu biển như: Đà Nẵng, Nha Trang, Bình Thuận, quần đảo Hoàng Sa.

Nho biển là loài cây chịu được khí hậu ấm áp, nhưng không thể sống sót trong điều kiện sương giá. Cây có thể chịu lạnh xuống đến khoảng 2 °C, nhưng lá sẽ chuyển sang màu đỏ trước khi rụng. Đặc biệt, hạt của nho biển cần được gieo ngay sau khi thu hoạch vì không thể bảo quản lâu dài như nhiều loài cây khác.
Loài cây này cũng được sử dụng như một loại cây cảnh nhờ ít tốn công chăm sóc, ít bị sâu bệnh và có quả thơm ngon, có thể ăn trực tiếp hoặc làm mứt. Tuy nhiên, một nhược điểm nhỏ là lá nho biển phân hủy khá chậm, đôi khi gây phiền toái cho các hộ gia đình.
Cây nho biển có một loài sâu gây hại nhỏ là sâu đục thân nho biển, một loại bướm đêm bản địa ở Florida. Loài này thường tấn công các nhánh nhỏ và làm chết lá, nhưng thiệt hại thường không nghiêm trọng.",,"Cây này không chỉ có giá trị thẩm mỹ mà còn giúp ổn định các đụn cát và tạo môi trường sống bảo vệ cho động vật nhỏ. Những cây nho biển cao mọc phía sau các bãi biển còn giúp ngăn ánh sáng từ các tòa nhà gần đó làm phân tâm rùa biển.
Ngoài công dụng trang trí, nho biển còn có nhiều ứng dụng khác. Nhựa cây đã được sử dụng để nhuộm và thuộc da, trong khi gỗ cây thỉnh thoảng được dùng để làm đồ nội thất, củi hoặc than. Quả của cây nho biển có thể ăn trực tiếp, chế biến thành mứt, hoặc lên men để làm rượu nho biển. Lá cây có thể được dùng để pha trà, và ong mật cũng có thể làm ra loại mật ong đặc biệt từ phấn hoa của cây.
Ở những nơi khác, cây nho biển cũng được sử dụng trong y học truyền thống. Ví dụ, ở Puerto Rico và vùng Caribbean, rễ và vỏ cây nho biển được dùng trong các bài thuốc dân gian, trong khi tại bán đảo Yucatán, trà làm từ vỏ cây nho biển pha với rượu được dùng để điều trị loét. Tại Guiana thuộc Pháp, một loại nước ép làm từ toàn bộ cây, gọi là Jamaica kino, được sử dụng để điều trị tiêu chảy và kiết lỵ.
Tại Brazil, một số loài nho biển được sử dụng làm thuốc co mạch để điều trị lậu, bệnh trĩ, chảy máu tử cung, tiêu chảy và rối loạn kinh nguyệt. Trong y học dân gian, nho biển được cho là có tác dụng tốt đối với nhiều bệnh lý, bao gồm yếu sinh lý, thiếu máu, mất ngủ, suy giảm trí nhớ, giảm thị lực, căng thẳng và lo âu. Người Mỹ bản địa đã chế biến trà từ lá, vỏ và rễ cây nho biển để chữa tiêu chảy, chảy máu, kiết lỵ và các bệnh truyền nhiễm. Vỏ cây được sử dụng để chữa các vấn đề về da như phát ban, trong khi lá được dùng để điều trị hen suyễn và khản tiếng, cũng như làm sạch vết thương. Nhựa cây vỏ được sử dụng để điều trị các bệnh về cổ họng."
Su hào,https://tracuuduoclieu.vn/wp-content/uploads/2022/10/su-hao-360x360.jpg,https://tracuuduoclieu.vn/su-hao.html,,,"Lịch sử ghi nhận lần đầu tiên cây su hào được nhắc đến trong văn bản châu Âu là vào năm 1554 bởi nhà thực vật học Mattioli. Ông viết rằng su hào “mới du nhập vào Ý gần đây”. Đến cuối thế kỷ 16, su hào đã lan rộng ra Bắc Âu và được trồng ở Áo, Đức, Anh, Ý, Tây Ban Nha, Tripoli và một số vùng ở phía Đông Địa Trung Hải.
Su hào có nguồn gốc từ vùng biển Địa trung hải được trồng ở các nước châu Âu và các nước ôn đới. Cây sinh trưởng và phát triển ở nhiệt độ 12-22 độ C.
Ở Việt Nam, Su hào được du nhập và trồng từ cuối thế kỷ 19. Hiện nay cây được trồng ở nhiều tỉnh phía Bắc trong mùa đông và được sử dụng làm rau ăn.
Su hào có thể phát triển tốt trong hệ thống thủy canh mà không làm tắc nghẽn hệ thống dưỡng chất. Cây su hào trưởng thành sau khoảng 55-60 ngày và có thể giữ được độ tươi ngon trong vòng 30 ngày sau khi thu hoạch. Thông thường, su hào có kích thước khoảng 150g.",,
Hương thảo,https://tracuuduoclieu.vn/wp-content/uploads/2022/10/huong-thao-360x360.jpg,https://tracuuduoclieu.vn/huong-thao.html,,,"Cây có nguồn gốc từ vùng Địa Trung Hải, nhưng cũng có thể chịu được khí hậu mát mẻ. Một số giống đặc biệt như ‘Arp’ có thể chịu được nhiệt độ mùa đông xuống tới khoảng −20°C.
Hương thảo có nguồn gốc từ vùng Địa Trung Hải, cũng như Bồ Đào Nha và tây bắc Tây Ban Nha. Nó được nhắc đến lần đầu tiên trên các phiến đá hình nêm sớm nhất là vào năm 5000 trước Công nguyên. Loại thảo mộc này đã được thuần hóa ở Trung Quốc sớm nhất là vào năm 220 sau Công nguyên, dưới thời Hậu Hán.
Hương thảo đến Anh vào một thời điểm không xác định, mặc dù có khả năng người La Mã đã mang nó đến khi họ xâm chiếm Anh vào năm 43 sau Công nguyên. Tuy nhiên, không có ghi chép đáng tin cậy nào về hương thảo ở Anh cho đến thế kỷ thứ 8 sau Công nguyên. Lần đề cập này nằm trong một tài liệu sau này được cho là của Charlemagne, người đã khuyến khích việc sử dụng chung các loại thảo mộc và đặc biệt ra lệnh trồng hương thảo trong các vườn và trang trại tu viện.
Không có ghi chép nào về việc hương thảo được thuần hóa đúng cách ở Anh cho đến năm 1338, khi các cành giâm được gửi đến Nữ hoàng Philippa bởi mẹ của bà, Nữ bá tước Joan xứ Hainault. Sau đó, nó được trồng trong vườn của cung điện Westminster cũ. Kể từ đó, hương thảo có thể được tìm thấy trong hầu hết các văn bản thảo dược của Anh.
Cuối cùng, hương thảo đã đến châu Mỹ cùng với những người định cư châu Âu đầu tiên vào đầu thế kỷ 17, và nhanh chóng lan sang Nam Mỹ và phân bố trên toàn cầu.",,
