Tên dược liệu,Link ảnh
Cao cẳng bắc bộ,https://tracuuduoclieu.vn/wp-content/uploads/2022/12/cao-cang-bb-2-e1671503062152-247x360.jpg
Cao cẳng lá mác,https://tracuuduoclieu.vn/wp-content/uploads/2022/12/la-mac-1-e1671527998657.jpg
Cao cẳng trung gian,https://tracuuduoclieu.vn/wp-content/uploads/2022/12/cao-cang-trung-gian-3-min-1-e1671699047513-360x317.jpg
Sài hồ,https://tracuuduoclieu.vn/wp-content/uploads/2022/12/sai-ho-2-360x300.jpg
Dây lửa ít gân,https://tracuuduoclieu.vn/wp-content/uploads/2022/10/duoc-lieu-2-min-360x300.jpg
Trám hồng,https://tracuuduoclieu.vn/wp-content/uploads/2022/10/2-5-min-360x300.jpg
Thiên danh tinh,https://tracuuduoclieu.vn/wp-content/uploads/2022/10/anh-moi-02-360x360.jpg
Nho biển,https://tracuuduoclieu.vn/wp-content/uploads/2022/10/2-2.png
Su hào,https://tracuuduoclieu.vn/wp-content/uploads/2022/10/su-hao-360x360.jpg
Hương thảo,https://tracuuduoclieu.vn/wp-content/uploads/2022/10/huong-thao-360x360.jpg
Chanh trường,https://tracuuduoclieu.vn/wp-content/uploads/2018/03/chanh-truong-4-360x360.jpg
Sương sáo,https://tracuuduoclieu.vn/wp-content/uploads/2022/02/xuong-sao-3-360x360.jpg
Bản xé thơm,https://tracuuduoclieu.vn/wp-content/uploads/2022/01/ban-xe-thom-5-360x333.jpg
Bại tượng hoa trắng,https://tracuuduoclieu.vn/wp-content/uploads/2021/12/bai-tuong-hoa-trang-1-360x333.jpg
A kê,https://tracuuduoclieu.vn/wp-content/uploads/2021/12/a-ke-2-360x360.jpg
Áo cộc,https://tracuuduoclieu.vn/wp-content/uploads/2021/12/ao-coc-5-360x345.jpg
Anh đào,https://tracuuduoclieu.vn/wp-content/uploads/2021/12/anh-dao-1-360x332.jpg
Anh thảo,https://tracuuduoclieu.vn/wp-content/uploads/2020/10/anh-thao-1-360x360.jpg
Sâm tố nữ,https://tracuuduoclieu.vn/wp-content/uploads/2019/02/sam-to-nu-360x250.jpg
Giảo cổ lam,https://tracuuduoclieu.vn/wp-content/uploads/2019/02/giao-co-lam-1-360x256.jpg
Thảo quả,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thao-qua-duoc-lieu-tue-linh2.jpg
Sâm cau,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/sam-cau-4-360x360.jpg
Cà gai leo,https://tracuuduoclieu.vn/wp-content/uploads/2018/06/ca-gai-leo-duoc-lieu-tue-linh2.jpg
Xạ can,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/xa-can-duoc-lieu-tue-linh1.jpg
Tỏi,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/toi-360x338.jpg
Địa Liền,https://tracuuduoclieu.vn/wp-content/uploads/2018/04/a-lien-duoc-lieu-tue-linh-3.jpg
Sữa ong chúa,https://tracuuduoclieu.vn/wp-content/uploads/2021/10/sua-ong-2-360x360.jpg
Lược vàng,https://tracuuduoclieu.vn/wp-content/uploads/2021/10/luoc-vang-1-1-360x360.jpg
Dừa nước (Dừa lá),https://tracuuduoclieu.vn/wp-content/uploads/2021/09/dua-3-360x333.jpg
Bạch nhất hồng,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/tu-vi-3-360x333.png
Mùng thơm,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/mung-thom-2-360x326.png
Muồng nước,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/muong-nuoc-360x360.png
Muồng trinh nữ,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/muong-trinh-nu-3-360x360.png
Muỗm,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/muom-2-360x333.png
Nàng nàng lá to,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/nang-nang-la-to-2-360x360.png
Nắp ấm hoa đôi,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/nap-am-hoa-doi-4-360x360.png
Ngà voi,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/nga-voi-360x355.png
Ngải đắng,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/ngai-dang-1-360x359.png
Nghể chàm,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/nghe-cham-2-360x360.png
Nghệ xanh,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/nghe-xanh-4-360x334.png
Ngô đồng,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/ngo-dong-360x360.png
Nho núi,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/nho-nui-2-360x360.png
Ngải nhật,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/ngai-nhat-2-360x360.png
Nọc xoài,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/noc-xoai-2-360x340.png
Ô liu,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/o-liu-3-360x333.png
Phượng vĩ,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/phuong-vi-360x344.png
Qua lâu trắng,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/qua-lau-trang-1-360x358.png
Ráng cánh bần,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/rang-canh-ban-3-360x360.png
Ráng lông,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/rang-long-2-308x360.png
Rau bao,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/rau-bao-2.png
Rau càng cua,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/rau-cang-cua-2-360x360.png
Rau diếp đắng,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/rau-diep-dang-3-360x333.png
Cây rau mát,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/rau-mat-2-360x360.png
Rau muối,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/rau-muoi-3-312x360.png
Rau ngổ trâu,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/ngo-trau-360x360.png
Rau tàu bay,https://tracuuduoclieu.vn/wp-content/uploads/2018/04/rau-tau-bay-duoc-lieu-tue-linh1.jpg
Rau trai đắng,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/rau-trai-dang-3-360x354.png
Râu rồng,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/rau-rong-360x360.png
Rì rì cát,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/ri-ri-cat-3-360x360.png
Riềng rừng,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/rieng-gung-2-360x360.png
Rù rì sông,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/ri-ri-song-2-360x360.png
Rung quả nhỏ,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/rung-qua-nho-2-360x360.png
Rút dại,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/rut-dai-3-360x360.png
Cây sam biển,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/sam-bien-1-360x359.png
Sẻn hôi,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/sen-hoi-2-360x360.png
Sơn cúc hai hoa,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/son-cuc-2-hoa-2-360x333.png
Sơn dịch,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/son-dich-360x352.png
Sơn tuế,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/son-tue-281x360.png
Cây Sú,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/su-360x360.png
Sung ngọt,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/sung-ngot-3-360x355.png
Súp lơ,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/sup-lo-360x360.jpg
Sư nhĩ,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/su-nhi-3-360x360.png
Sữa lá to,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/sua-la-to-3-360x357.png
Tai nghé,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/tai-nghe-360x349.png
Tai tượng úc,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/tai-tuong-uc-2-360x358.png
Tần bì,https://tracuuduoclieu.vn/wp-content/uploads/2021/01/tan-bi-360x360.jpg
Tần giao,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/tan-giao-2-360x360.png
Tếch,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/tech-2-360x360.png
Thạch hộc tuyết mai,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/thach-hoc-tuyet-mai-2-360x360.png
Thạch toán,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/thach-toan-3-360x360.png
Thài lài lông,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/thai-lai-long-360x360.png
Thanh thất,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/thanh-that-2-360x360.png
Thanh thất núi cao,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/thanh-that-nui-cao-360x354.png
Thảo đậu khấu bắc,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/thao-dau-khau-bac-3-360x360.png
Thóc lép bướm,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/thoc-lep-buom-4-360x360.png
Thóc lép động,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/thoc-lep-dong-1-360x334.png
Thóc lép nhiều quả,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/thoc-lep-nhieu-qua-2-360x360.png
Thôi chanh lá xôn,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/thoi-chanh-la-xon-2-360x337.png
Thông lá hán,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/thong-la-han-2-360x360.png
